"ID","URLP/URL1"
"62278605","https://timesofindia.indiatimes.com/entertainment/english/movie-reviews/jumanji-welcome-to-the-jungle/movie-review/62278605.cms"
"62100094","https://timesofindia.indiatimes.com/entertainment/english/movie-reviews/hare-krishna-the-mantra-the-movement-and-the-swami-who-started-it-all/movie-review/62100094.cms"
"62069978","https://timesofindia.indiatimes.com/entertainment/english/movie-reviews/ferdinand/movie-review/62069978.cms"
"62057682","https://timesofindia.indiatimes.com/entertainment/english/movie-reviews/star-wars-the-last-jedi/movie-review/62057682.cms"
"61978257","https://timesofindia.indiatimes.com/entertainment/english/movie-reviews/mark-felt-the-man-who-brought-down-the-white-house/movie-review/61978257.cms"
"61967567","https://timesofindia.indiatimes.com/entertainment/english/movie-reviews/borg-mcenroe/movie-review/61967567.cms"
"61959846","https://timesofindia.indiatimes.com/entertainment/english/movie-reviews/anna-karenina-vronskys-story/movie-review/61959846.cms"
"61959241","https://timesofindia.indiatimes.com/entertainment/english/movie-reviews/daddys-home-2/movie-review/61959241.cms"
"61901788","https://timesofindia.indiatimes.com/entertainment/english/movie-reviews/suburbicon/movie-review/61901788.cms"
"61883909","https://timesofindia.indiatimes.com/entertainment/english/movie-reviews/the-foreigner/movie-review/61883909.cms"
"61880217","https://timesofindia.indiatimes.com/entertainment/english/movie-reviews/amityville-the-awakening/movie-review/61880217.cms"
"61878267","https://timesofindia.indiatimes.com/entertainment/english/movie-reviews/finders-keepers/movie-review/61878267.cms"
"61862576","https://timesofindia.indiatimes.com/entertainment/english/movie-reviews/wonder/movie-review/61862576.cms"
"61775178","https://timesofindia.indiatimes.com/entertainment/english/movie-reviews/murder-on-the-orient-express/movie-review/61775178.cms"
"61768855","https://timesofindia.indiatimes.com/entertainment/english/movie-reviews/coco/movie-review/61768855.cms"
"61752075","https://timesofindia.indiatimes.com/entertainment/english/movie-reviews/thank-you-for-your-service/movie-review/61752075.cms"
"61686668","https://timesofindia.indiatimes.com/entertainment/english/movie-reviews/justice-league/movie-review/61686668.cms"
"61590086","https://timesofindia.indiatimes.com/entertainment/english/movie-reviews/my-little-pony/movie-review/61590086.cms"
"61552908","https://timesofindia.indiatimes.com/entertainment/english/movie-reviews/a-bad-moms-christmas/movie-review/61552908.cms"
"61500756","https://timesofindia.indiatimes.com/entertainment/english/movie-reviews/loving-vincent/movie-review/61500756.cms"
"61271272","https://timesofindia.indiatimes.com/entertainment/english/movie-reviews/geostorm/movie-review/61271272.cms"
"61250037","https://timesofindia.indiatimes.com/entertainment/english/movie-reviews/thor-ragnarok/movie-review/61250037.cms"
"60983551","https://timesofindia.indiatimes.com/entertainment/english/movie-reviews/victoria-amp-abdul/movie-review/60983551.cms"
"60971041","https://timesofindia.indiatimes.com/entertainment/english/movie-reviews/the-lego-ninjago-movie-3d/movie-review/60971041.cms"
"60958275","https://timesofindia.indiatimes.com/entertainment/english/movie-reviews/blade-runner-2049/movie-review/60958275.cms"
"60888613","https://timesofindia.indiatimes.com/entertainment/english/movie-reviews/birth-of-the-dragon/movie-review/60888613.cms"
"60845734","https://timesofindia.indiatimes.com/entertainment/english/movie-reviews/american-made/movie-review/60845734.cms"
"60768819","https://timesofindia.indiatimes.com/entertainment/english/movie-reviews/kingsman-the-golden-circle/movie-review/60768819.cms"
"60518473","https://timesofindia.indiatimes.com/entertainment/english/movie-reviews/american-assassin/movie-review/60518473.cms"
"60514478","https://timesofindia.indiatimes.com/entertainment/english/movie-reviews/terminator-2-judgment-day-3d/movie-review/60514478.cms"
"60436986","https://timesofindia.indiatimes.com/entertainment/english/movie-reviews/the-nut-job-2-nutty-by-nature/movie-review/60436986.cms"
